year,month,n_burned_pixels_all,burned_area_km2_all_landcover,n_burned_pixels_forest,burned_area_km2_forest_only
2016,7,339,71.60800526306029,29,6.193059229792388
2016,8,571,121.74220937782138,10,2.1355915405253287
2016,9,5968,1121.7162172497726,47,9.843802609824307
2016,10,39849,7420.736071614043,88,17.155654740280994
2016,11,97906,18250.773451766177,95,17.137223960118128
2016,12,2248,428.93778075425257,590,109.54128683657052
2017,1,3216,639.2456715620441,1170,232.97612118197407
2017,2,56854,11474.983260561821,39032,7894.114454314657
2017,3,110396,22105.115791844488,72114,14466.879941874924
2017,4,105005,20808.637199402314,52343,10445.557563983744
2017,5,41201,7760.475268584686,1447,280.38153363984287
2017,6,1039,199.08924871303697,130,23.434768191906407
2017,7,110,23.418643830201827,0,0.0
2017,8,22,4.626080323735442,0,0.0
2017,9,2272,420.60230427898466,1,0.21382402354012975
2017,10,50185,9356.313316966427,33,5.992912669970246
2017,11,45150,8501.847327006404,8,1.5447515421558016
2017,12,1699,338.1268233806628,51,9.591774565210791
2018,1,4920,975.6749299186574,1117,221.44972629264106
2018,2,41872,8498.334937501868,24653,5012.1664973800835
2018,3,143645,28851.02583697116,104164,20962.509616188676
2018,4,63156,12325.880077861128,12611,2491.4146704928394
2018,5,33464,6260.121356484401,7507,1391.7613062856312
2018,6,572,107.67220767832667,223,41.448767564579995
2018,7,1,0.21225119984454227,0,0.0
2018,8,453,96.66043343543214,0,0.0
2018,9,1487,284.78371506405335,1,0.21250605815724216
2018,10,35884,6676.283740007622,8,1.4989979534548503
2018,11,93706,17509.976507290667,18,3.5081326077413157
2018,12,4044,796.0641393942518,119,23.574371695728285
2019,1,2570,516.184501547983,831,166.06228999892417
2019,2,30064,6078.798758353061,20610,4175.187011525488
2019,3,92357,18530.578867584143,65082,13069.284290293304
2019,4,93855,18399.98341227524,28475,5678.706025858956
2019,5,36055,6877.761203906806,14421,2739.881434241027
2019,6,4016,771.3328921724267,1763,327.8386396706443
2019,7,36,6.671409301961598,15,2.811185301623672
2019,8,128,26.257322152307474,0,0.0
2019,9,2067,385.0375619201735,0,0.0
2019,10,52706,9809.460239449012,10,2.0304640818184763
2019,11,73448,13754.561692389289,7,1.3511616005673244
2019,12,4118,807.9735025710963,187,37.353876433761386
2020,1,10675,2155.3008270909586,6955,1410.1792064617969
2020,2,34173,6881.583577507793,19813,4002.5175857728655
2020,3,120842,24137.564966065234,78018,15591.873334449005
2020,4,59099,11729.394384978732,21707,4325.774644687879
2020,5,47515,9141.713748199574,863,169.43579490310702
2020,6,903,169.1904600279761,25,4.49618738108041
2020,7,292,53.975306178428234,12,2.131726821765501
2020,8,0,0.0,0,0.0
2020,9,5664,1041.1608835871698,8,1.4547734428070505
2020,10,53729,9997.327674000422,149,27.439549339136356
2020,11,72433,13552.69439888404,118,22.080080586793038
2020,12,3384,673.939403684043,440,84.70644825815053
2021,1,11058,2203.695999426981,5220,1045.9992503515232
2021,2,55436,11154.799097161847,33941,6822.200348447401
2021,3,220807,44228.581318994984,160905,32259.969213117336
2021,4,92129,17983.64426329353,38294,7501.09752662229
2021,5,15579,2994.2057094463444,907,176.73700802430142
2021,6,783,140.1900762550809,216,38.446409644413905
2021,7,178,32.90919185067298,7,1.2427669276266677
2021,8,297,61.37287342519314,2,0.4276220500622101
2021,9,1414,264.38157537184156,3,0.5693127578843407
2021,10,36273,6736.614870195828,48,9.01651430735798
2021,11,101592,18938.997381223446,46,8.724683426173101
2021,12,3663,746.2765429271961,44,8.660280940348581
2022,1,4355,861.6363997453311,800,158.75253584366865
2022,2,20239,4078.607855420021,10540,2125.172349775342
2022,3,136215,27302.558886455172,99154,19885.78433292365
2022,4,89610,17346.459516684772,15306,2932.5767684747357
2022,5,29242,5488.603494399116,2292,424.78932282458663
2022,6,4356,799.2018981579274,1924,347.2770299652981
2022,7,46,9.819183446621118,10,2.134520406690939
2022,8,81,16.234735439666785,0,0.0
2022,9,2408,466.7493000547784,3,0.5545546159239848
2022,10,30599,5705.40624639178,7,1.3662044953261263
2022,11,95144,17818.650856771197,37,7.105499846979435
2022,12,2868,573.045105393649,55,10.722220093274245
